,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.8841732979664014,0.4897959183673469,0.18461538461538463,0.2681564245810056,0.8546069315300084
RandomForest,0.8938992042440318,0.5735294117647058,0.3,0.3939393939393939,0.8853223699377546
SVC,0.8938992042440318,0.65625,0.16153846153846155,0.25925925925925924,0.818658264812111
